commit	subject	protection_group	slice	resolution
b11caf9bd366c427ce7c7dd58127effcb7a4bd0b	feat(recurring-tasks): separate trigger acceptance from real task success via run records	T07	S6	retain
3e0f6f5684fe457df32d2874024cfee20f0132bc	fix(daily-plan): stop gating PyYAML/rclone deps off macOS/Windows	T07	S6	retain
7831629c8b65f6c364edaa5a69acb1fa63560071	docs(recurring-tasks): document macOS/Windows backends, not just systemd	T06	S2,S6,S8	retain
8aef724f62abbdbe87d1c2c973841a8aab0f65c9	fix(list-manager): seed usable default categories on list init	T07	S6	retain
2c5cc1f3bb77a57b4eb0616ac9e3e4c6c8d6645e	feat(list-manager): add optimistic-concurrency revision check, close triage lost-update race	T07	S6	retain
059bdab224e6b538bc17ca2962692ec76be572ad	fix(email-triage): default state root to FamulusPaths, not SKILL_DIR/state	T03	S4,S6	retain
c943a2293ce2f5b7f64860f5ce24556b937bad1a	feat(email-triage): single ordered, idempotent, replay-safe finalization step	T07	S6	retain
ecbb6f69f45a57c78d472d558628053319b42063	feat(email-triage): source-identity tracking and deduplicated historical rescan	T07	S6	retain
ac79ad5a8dd83c9b202bd307f251ccdbfec9a68a	fix(recurring-tasks): macOS LaunchAgent reload-by-label when a stale prior entry is loaded	T07	S6	retain
3eb64127971fee7d5ea2e5f45cb824284eba175c	test: integrated managed-runtime lifecycle acceptance (install/update/rollback)	T03	S4,S6	retain
8f14416866f971329ddb6d98385f20c21f14d60d	feat(install): bootstrap uv when not already present on a fresh machine	T03	S4,S6	retain
08c7351bebd1e5daea7779e11f5d467466f0edb5	ci: temporarily trigger the 3-OS matrix on this branch's pushes	T07	S6	retain
f798569f0546bbb46c0626ac38272080396d2cff	fix(recurring-tasks): deploy a real executable resolver in live-smoke tests; resolve a concrete python path for Windows schtasks	T07	S6	retain
38902daf76b92153877345dc8f642e742dd710fd	fix(google-credentials): isolate tests from ambient XDG_*_HOME env vars leaking into home= overrides	T07	S6	retain
b45dabc1bbde8f0681f19d814eef8e4a99c0c806	fix(recurring-tasks): write a wrapper .cmd for Windows scheduled tasks instead of a long inline /TR command (schtasks' 261-char /TR limit)	T07	S6	retain
c2174525eb9d7b454f56afdaaf4cd77d39d29638	fix(recurring-tasks): resolve email-triage status path, propagate test exit code	T07	S6	retain
29274ef19488f6dff8ea6cf7ba56a2f310e9b117	fix(recurring-tasks): CRLF-safe and percent-escaped Windows task wrappers	T07	S6	retain
03e303b882fae27abc62fde49e7c270f5cc23a35	fix(list-manager): close the lost-update race for real cloud-backed lists	T07	S6	retain
36ca0b91cefeb5a6d6d74d67a83f1496343d71f0	fix(install-assistant-tools): validate Windows python, fail clearly on missing cryptography	T03	S4,S6	retain
b9db6d083864cb5c9649599b5f96cb24b75cab2b	fix(google-credentials): fix secret rotation, auth-mode binding, OAuth errors, registry race	T07	S6	retain
693186d24f64bcbf453f766d2dd75375336217a3	fix(install): Windows venv layout, atomic resolver deploy, uv version check, onboarding partial-success	T03	S4,S6	retain
78c31a549f6c4853795af11c79a77a0e3ec21289	fix(recurring-tasks): posix-normalize all systemd unit paths, not just the resolver	T07	S6	retain
0e8e974ef94ddd77d3f4c13177d34715e535e797	fix(tests): make test_officina_managed_runtime's fake-uv assertions host-independent	T03	S4,S6	retain
7279b81c00d87abfc3d97e5320c6ff3c6d3b7f87	fix(famulus-paths): isolate LOCALAPPDATA per test to stop Windows cross-test path collisions	T07	S6	retain
42c5b0c3ca8092c071579f8687fa8b51c9ab9259	fix(install-assistant-tools): give the fake dispatcher a real Windows launcher instead of a bare shebang script	T03	S4,S6	retain
99365defb4256aa43bfe16d33b81ac16e474bd93	docs(plan): define second ten-skill refactor pass	T06	S2,S6,S8	retain
c535edb507f87c9f23c969e982888b91bbb15f5a	refactor(daily-plan): remove stale runtime reference	T06	S2,S6,S8	retain
73b629617c786a4af665edb6d05ed378193fb085	refactor(email-triage): repair workflow navigation	T06	S2,S6,S8	retain
43d0d76d5711bea4be59d77b3faaeb780a0852b9	refactor(list-manager): align update contract description	T06	S2,S6,S8	retain
4d33dac118644ed2790bf770782acdc1656ec3c0	refactor(make-tex-docstring): sharpen trigger summary	T04	S2,S8	retain
c89c3eb943a548e1caab87833213921fc04476db	refactor(pdf-to-markdown): clarify optional output path	T06	S2,S6,S8	retain
40d9cccb76c5885ddc0dd272d8564d026829f23d	refactor(math-dependency-graph): tighten trigger contract	T06	S2,S6,S8	retain
be0f3c32853cac64c8eb80f2b7bc4d6921460fa2	refactor(recurring-tasks): complete job-control usage	T06	S2,S6,S8	retain
6707238bbfc9d56c476a7f11a02d209c4c3d862a	refactor(regenerate-blueprints): sharpen trigger summary	T01,T02	S1,S3,S7	retain
5e7dabc1ba33a6c1f38bef54fc55d88ab5b82406	refactor(skill-drift): correct canonical graph metadata	T06	S2,S6,S8	retain
b9ab63f5f5815973f43bcc53727813a99737ed26	test(skills): exercise public contract consumers	T07	S6	retain
873d63add68524a34db1f42b1dfbea1eac1d696c	Fix deferred skill contract defects	T06	S2,S6,S8	retain
4eb542e2c3959360ccf0c58884591444b601eccc	feat(validators): enforce staged docstrings	T04	S2,S8	retain
12e007e78b7d1a36bb8ba31b2be75449484e7344	Keep cloud reads non-creating	T07	S6	retain
13f99ce67d8c087f1d7cc36a397b74d3897f6520	Simplify email client routing guidance	T07	S6	retain
6daf9a08ad3aba226ec91114f0d43494d81852d0	Clarify calendar routing contracts	T07	S6	retain
ff8a3aba9d4091cf3e7d43bc04f907de3218732f	Streamline TDD scaffold guidance	T07	S6	retain
3ce3cd376eb97c9b56dfc5eb6a735bf288d4d6dd	Simplify assistant tools installation guidance	T03	S4,S6	retain
2901238ae1c9a01c35b981a9be1d34f8769b3698	Close whole-pass skill audit gaps	T07	S6	retain
ab3f91c2d7bdfc39b7417b582a0c7af57b084918	refactor(refactor-node): require preservation maps	T06	S2,S6,S8	retain
738f66f4d41709620871b02a1a81c552a024cade	refactor(prepare-handoff): remove repeated lesson filters	T06	S2,S6,S8	retain
1934f2d91c0a5fff50e440db760e0659d759bf9a	refactor(wrap-up): name canonical dependency interfaces	T06	S2,S6,S8	retain
5d4fdfc40afab80c3102b333015d217554913a4c	feat(visualization): add generic presentation node grouping	T07	S6	retain
f038629da70a9f515d85288709d10b35ffbc5826	fix(refactor-node): inspect implementation children	T06	S2,S6,S8	retain
bbaace9f77cdc21a58739e4c4eb5a6c280359153	refactor(skill-maker): remove branch-check rationale	T06	S2,S6,S8	retain
9c6e2d657db010ed9b6231f6957297e29534bd8d	fix(wakeup): keep policy status read-only	T07	S6	retain
29166b266d7c696c97cfe3189d982fc20218deae	fix(ownership): ignore Python cache artifacts	T07	S6	retain
0bea7c6b09e446e2256fb480cb85d44653f61516	docs(plan): close five-skill refactor pass	T06	S2,S6,S8	retain
d85083ee74e2a37137a14f89f6e0f37425918fac	feat(visualization): collapse skill grouping controls	T07	S6	retain
66e2b4c6fcc1ac9aa7029c3c551a1debc096fc18	refactor(refactor-node): verify query provenance and evidence	T06	S2,S6,S8	retain
799e06237e0170f212f94da8fd047c446dfb6d58	refactor(latex-workshop): make activation trigger-only	T06	S2,S6,S8	retain
b002c4cea034d758eecffaf3413f925c6607bb46	feat(controller): add workflow and wire protocol contracts	T07	S6	retain
cc1dfdef1d5ec629abf94458b8f200837014fcd6	fix(refactor-node): preserve review and diff gates	T06	S2,S6,S8	retain
cac5ba9e1fce351121fa9ba908df71b7da870f02	docs(plan): record refactor calibration findings	T06	S2,S6,S8	retain
64fac71448509c52895551cf527b4f3655cd50bc	docs(plan): close refactor calibration pass	T06	S2,S6,S8	retain
ab7de8fe97f65f5bc783d0a738b4938bece0eb50	fix(recurring-tasks): add independent failure reporting	T07	S6	retain
18faacb3677074ab4fbe299f035c81cae8e8cd05	fix(test): isolate staged validator clone	T04	S2,S8	retain
fc4ea29fce6cf199c8022eb968046945887578ea	merge: refresh integration base from master	T05	ALL	retain
4f265c13ad680e800083b6d748fe9bb2358cf9b0	docs(plan): define deferred fixes master integration	T06	S2,S6,S8	retain
b77c1ae4f0cb0022a03588f0a7c95247d2c5ef42	docs(plan): add staged docstring compatibility work	T04	S2,S8	retain
5315ccc364cd2f806c786c1f25dadae73232bcd4	fix(recurring-tasks): declare run-record dependency	T07	S6	retain
e92a93b04e4b1ef34630f93d4a897b2016969265	perf(precommit): benchmark exhaustive test execution	T04	S2,S8	retain
0ac064f4f05e8461a898c2eb83d0de0ba4db9c14	refactor(standards): require explicit query roots	T04	S2,S8	retain
5059dc431c3deee59770f639e5d98660b865cd44	refactor: centralize repository checks	T04	S2,S8	retain
4a574b163714fc52a6d269546415825102c9998d	docs(plan): add docstring contract repair	T04	S2,S8	retain
b12254f4891036d6988f2fafc9e343e80cbe5f1d	Merge branch 'master' into perf/exhaustive-precommit	T04	S2,S8	retain
8d62fe978d0986990a8d62ab71db75166a9149c6	fix(docstrings): tighten structural profiles	T04	S2,S8	retain
6f8ef36efdccb9ad81076a5923de5be3b7d35df5	refactor: reuse validator suite preparation	T04	S2,S8	retain
24a525f1ecb95a231e39b014231d4d76b28d0c92	docs(blueprint-graph): document graph contracts	T01,T02	S1,S3,S7	retain
64937a9f203a310fe551b1e284d5520aa0f07522	perf: prepare boundary validator matchers once	T04	S2,S8	retain
3d81d64a62e6c1052aedbf454fc9dd503e4c1034	docs(plan): add source-led docstring preflight	T04	S2,S8	retain
acc1b4ed7153d852d5dce4bffd5dece274892f8a	perf: reuse standard schema validation preparation	T07	S6	retain
02a4476c4124cd12145aacc3a558942aab78ab0a	docs: plan remaining validator performance work	T04	S2,S8	retain
af5ccc4c9b1b2f8cd4286d35031963bd53ed860a	perf: reuse shared graph for subcommand validation	T07	S6	retain
66446a06963b402d2f3f7cce37f4b0cfe217e00e	fix(refactor-node): make docstring analysis source-led	T04	S2,S8	retain
2a746296e184984024b5b9af07c75cd67a0707e7	perf: reuse platform validator relative paths	T04	S2,S8	retain
a597ec0f37eda03e95afa00e91f0889cba0b18aa	perf: reuse runtime documentation matchers	T07	S6	retain
d13d47f02c9c6942e13f174df75e763d3e7dd7c6	perf: skip unnecessary personal info scrubbing	T07	S6	retain
bee96251c32af7a5c932b96927d74033b31b3ebc	perf: add session Python source cache	T07	S6	retain
7eebb318e5e233ef7e4f5a363c09c9dd2ef828b9	fix(docstrings): preserve nested product provenance	T04	S2,S8	retain
abdb7c72ab35ae16ad1427fed445b99c6ba1238f	perf: share cross-platform Python parses	T07	S6	retain
2047db5bece024353b6e08d8a7df3ca73ec198f2	perf: share TOML boundary Python parses	T07	S6	retain
6934bfd583666e0c354e5e9c698389ba8b29caea	perf: share dispatch caller Python parses	T07	S6	retain
fe3e0ef6ae2ca51e7bbfd21fb34bbab3989c42ac	perf: share subprocess encoding Python parses	T07	S6	retain
23d9690d3c44a629feb6f1508b96cd004da409be	perf: share portable date Python parses	T07	S6	retain
a88c6c34fce50432b2deb03d667f18914290312a	perf: share skip hygiene Python parses	T07	S6	retain
fb0d4952bdd53cff4aee750ba72bc552d850da33	docs: record validator performance findings	T04	S2,S8	retain
b23f99d9ff3603931840ba2b05d3aa40381d6377	fix(docstrings): classify control-only assignments	T04	S2,S8	retain
00abe2b71cd851836259b010b30c762b21d8d887	fix(docstrings): trace transformed product flows	T04	S2,S8	retain
5c0b69ca2926eb03ea2f89e0efae039f4c7b68cd	docs(list-manager): document YAML runtime contracts	T06	S2,S6,S8	retain
3c589dca65c00ddfb627d7e2d01ceb0886f0c032	docs(wakeup): document policy persistence contracts	T06	S2,S6,S8	retain
4be29db5cf6889d9ef92255de84913de21414087	docs(skill-drift): document drift-state contracts	T06	S2,S6,S8	retain
93cc6ce2f664659fe863646cefc2d9f4ca5801f2	fix(docstrings): honor wrapper and carried-product semantics	T04	S2,S8	retain
b62f20b008318b2f142ca094602462b0255dd8be	docs(cloud-files): document Drive gateway contracts	T06	S2,S6,S8	retain
0e4a4b1efcb6c6a7f63c3aeaf77de99e5b581ac1	fix(docstrings): trace projections and serializer products	T04	S2,S8	retain
eef69ae8893ae10af8ccfba880565927c642a0bf	docs(catalog): document discovery contracts	T06	S2,S6,S8	retain
a4216eb673c48c21bfb4886cd24e760b7877740c	fix(docstrings): recognize validator products	T04	S2,S8	retain
27aa0805a7320972a1115a853c4a4b9618e5f1b7	docs(validators): document runtime-reference checks	T04	S2,S8	retain
0c60319172624d1fead84be38abcca314c99aee5	fix(math-dependency-graph): align server contracts	T07	S6	retain
b1a2ecac1c37a57adf46fdbb9c521bc457552504	docs(list-manager): clarify integration test contracts	T06	S2,S6,S8	retain
24e4d021f0e888a2e74936126223271e85f53f33	docs(wakeup): describe feature integration coverage	T06	S2,S6,S8	retain
7b1320dfc7c97dc3dc91004a230ba6fd51068a69	fix(officina-install): officina missing from managed-runtime venvs	T03	S4,S6	retain
31c829572dc0dfcfeef23fe463ab1bf32e17e00d	docs(officina): group framework docs under docs/officina/	T06	S2,S6,S8	retain
812c718392a4bcad44763509c2cda6f710e40148	docs(officina): add framework overview and repoint moved-doc references	T06	S2,S6,S8	retain
a8db1140d8ec2f26164ef6175d18c6ef07781bbd	docs: design Officina documentation integration	T01,T02	S1,S3,S7	retain
91ce1df34233ae33dad44d0d63cc014f931efdc7	docs(standards): close Officina documentation move	T01,T02	S1,S3,S7	retain
8b1f5fc6abbe70cf7571472153ddfb1883b93fbd	recurring-tasks: tolerate known failures in healthcheck	T07	S1,S6	retain
65e3159ab3f49bcac77fdb599f46ec0e059d4ccc	chore(validators): temporarily suspend docstring gate	T04	S2,S8	retain
071dbf49cfa45b1df849cac4ef3478175c243d0f	feat(tw): integrate pane management controls	T05	ALL	retain
1dabdbd57d7d572e5b74286c768619fbee7a3498	merge: centralize repository checks	T04	S2,S8	retain
282c46dcd03314d5dafdd196412b65dde7b52a1b	perf(checks): parallelize and tier repository tests	T04	S2,S8	retain
bf307edc4e362b607560cf4d838a84344f94f7a2	Merge branch 'perf/exhaustive-precommit'	T04	S2,S8	retain
0979a655be49c002237ad9b59ac08c7b8b167a13	Finish unified repository checks runner migration	T04	S2,S8	retain
e9f0a08b204a97469517bc70dc4f98124d64a98e	fix(checks): close pooled runner rollout gaps	T04	S2,S8	retain
58eb1c5b05c8c5c03f057a54c2f130dbad25f922	docs: add audited deferred-fixes integration guide	T07	S6	retain
7fb4333a6b1cd0e7c2d4eba2730eeff744f5ed6b	fix(list-manager): preserve sorting for unfiltered reads	T07	S6	retain
a9b6bbe1f475a0d5ecb57f7cb63ea71ab6339d1f	fix(math-graph): enforce graph server interface bounds	T07	S6	retain
8fc94e37169288f03739192cf543d3f97a937480	fix(recurring-tasks): declare shared jobs configuration ownership	T07	S6	retain
3b74a0ede1eda7fef85e58d0a501af7a958821f6	test(contracts): preserve list and graph projections	T07	S6	retain
469e638b95e59c2a4c56ed4b505fc8efa9fc6a1f	fix(wakeup): preserve route reporting and read-only status	T07	S6	retain
9207f8500c1e50f1d716df201b93431e904118a6	fix(skill-drift): use schema-neutral empty graph diagnostics	T07	S6	retain
f8108e03c01b577ef657df45e1c91b798d4c3b0a	fix(cloud-files): keep non-writing routes non-creating	T07	S6	retain
5cab8a0ef726b9b524c20f3f3ff0be462a56ada8	refactor(google): preserve final service routing contracts	T06	S2,S6,S8	retain
39f8670fd72ae6d0e6624cee13931165e4dffc3b	refactor(initialize-tdd): streamline scaffold guidance	T06	S2,S6,S8	retain
aa242527d44e80c8aed2bf1c251a7fabde74591b	refactor(installer): simplify guidance without losing controls	T03	S4,S6	retain
579f17cb5fb70ef3dd51d3dc6f37ad24c126a3af	refactor(refactor-node): preserve evidence and review gates	T06	S2,S6,S8	retain
ef892b7f723cf28d2c77a7ac631244a5d2ffbc2c	refactor(standards): preserve refactoring verification gates	T06	S2,S6,S8	retain
d6a59ed9f9ac5e20f3a13f4d16355600e5b25484	refactor(skills): simplify guidance and name interfaces	T06	S2,S6,S8	retain
fd40cbbef7bcd18f269c2d8a1035bdf83fbedd35	fix(ownership): ignore Python cache artifacts	T07	S6	retain
0f926c91b2201a2b33dc9d7d651d70ea1f9a07cd	test(recurring-tasks): preserve portable ownership contract	T07	S6	retain
b1a4e817db7269fdcd01795695ba97e4c12b7095	docs: close deferred-fixes preservation ledger	T07	S6	retain
625275369a0d32264d2cea2eeba580b8b6d23a03	test(migration): align committed v5 child inventory	T07	S6	retain
0772da749ec8457f27e2683fe234da7aa34c7892	test(migration): drop absent refactor child inventory	T06	S2,S6,S8	retain
5655e6f5a206b3c0f0f7e704c21b6e194c422c82	test(browser): serialize Chrome integration cases	T07	S6	retain
65884cf2e7e3a310b3dcbb98d763c220f2264786	test(installer): exercise managed dispatcher runtime	T03	S4,S6	retain
0608f54e21605467d2fdb3d5ac8b7be6734fdae5	test(browser): wait for rendered projection nodes	T07	S6	retain
fabb72bbb8cdb26429b2bff3f67db59d02377a20	test(installer): expect executable managed dispatcher	T03	S4,S6	retain
84c2aa1d820289a4a17854cb2dd4b86329747340	merge: record audited deferred-fixes ancestry	T05	ALL	retain
5f926bf6330d99f0c1cf85c089fcf80c2b27dde4	merge: integrate audited deferred fixes	T05	ALL	retain
ac2720dc641a646fbb2a1cf2b5b65bfddf70d367	feat: add semantic integration skill	T07	S6	retain
d421f3011388e4fd96cfa79a150fd43038597d2f	fix: clarify semantic integration closure	T07	S6	retain
5559495ce57db0ace0de27d5c10abf80ef46e458	merge: record macOS installer source ancestry	T03	S4,S6	retain
7e3c33d899903e13ef6d616df0463a8c5b31a0e3	merge: record TW pane-management source ancestry	T05	ALL	retain
b984b50b89c1b438bee9130e3ffd08c2f158eddd	merge: record deferred-fixes source ancestry	T05	ALL	retain
