status	path	disposition	slice	effect_class	integration_commits	evidence
A	references/blueprint/migrations/v6/module.schema.json	adapted	S1	E01,E02	57a4c63	progress-log:S1;focused-checks;checkpoint-hooks;closure-full-pending
A	references/blueprint/migrations/v6/schema-meta.json	adapted	S1	E01,E02	57a4c63	progress-log:S1;focused-checks;checkpoint-hooks;closure-full-pending
A	references/blueprint/migrations/v6/schema.json	adapted	S1	E01,E02	57a4c63	progress-log:S1;focused-checks;checkpoint-hooks;closure-full-pending
A	references/blueprint/migrations/v6/template.yaml	adapted	S6	E11	6766e69+484c0d5	progress-log:S6;focused-checks;checkpoint-hooks;closure-full-pending
M	references/blueprint/module.schema.json	adapted	S1	E01,E02	57a4c63	progress-log:S1;focused-checks;checkpoint-hooks;closure-full-pending
M	references/blueprint/runtime_dependencies.json	adapted	S4,S6	E05,E06,E07,E10,E13	d5584e7+484c0d5,6766e69+484c0d5	progress-log:S4,S6;focused-checks;checkpoint-hooks;closure-full-pending
M	references/blueprint/schema-meta.json	adapted	S1	E01,E02	57a4c63	progress-log:S1;focused-checks;checkpoint-hooks;closure-full-pending
M	references/blueprint/schema.annotated-draft.json	adapted	S1	E01,E02	57a4c63	progress-log:S1;focused-checks;checkpoint-hooks;closure-full-pending
M	references/blueprint/schema.json	adapted	S1	E01,E02	57a4c63	progress-log:S1;focused-checks;checkpoint-hooks;closure-full-pending
M	references/blueprint/template.yaml	adapted	S6	E11	6766e69+484c0d5	progress-log:S6;focused-checks;checkpoint-hooks;closure-full-pending
M	references/certification/certification-basis-roots.json	adapted	S6	E11	6766e69+484c0d5	progress-log:S6;focused-checks;checkpoint-hooks;closure-full-pending
M	references/node-standards/authority-disposition.yaml	adapted	S6	E11	6766e69+484c0d5	progress-log:S6;focused-checks;checkpoint-hooks;closure-full-pending
M	references/node-standards/blueprint.yaml	adapted	S6	E11	6766e69+484c0d5	progress-log:S6;focused-checks;checkpoint-hooks;closure-full-pending
M	references/node-standards/blueprints/standards.yaml	adapted	S6	E11	6766e69+484c0d5	progress-log:S6;focused-checks;checkpoint-hooks;closure-full-pending
M	references/node-standards/instruction-module.standard.yaml	adapted	S6	E11	6766e69+484c0d5	progress-log:S6;focused-checks;checkpoint-hooks;closure-full-pending
M	references/node-standards/module.standard.yaml	adapted	S6	E11	6766e69+484c0d5	progress-log:S6;focused-checks;checkpoint-hooks;closure-full-pending
M	references/node-standards/python-module.standard.yaml	adapted	S6	E11	6766e69+484c0d5	progress-log:S6;focused-checks;checkpoint-hooks;closure-full-pending
M	references/skill-standards/blueprint.yaml	adapted	S6	E11	6766e69+484c0d5	progress-log:S6;focused-checks;checkpoint-hooks;closure-full-pending
M	references/skill-standards/blueprints/interface-design.yaml	adapted	S6	E11	6766e69+484c0d5	progress-log:S6;focused-checks;checkpoint-hooks;closure-full-pending
M	scripts/run-python-tests.py	adapted	S2	E12	0901a75+8cb8781	progress-log:S2;focused-checks;checkpoint-hooks;closure-full-pending
M	skills/bib-audit/SKILL.md	adapted	S8	E11	3ae2a40	progress-log:S8;focused-checks;checkpoint-hooks;closure-full-pending
M	skills/bib-audit/_rtx/blueprint.yaml	adapted	S6	E11	6766e69+484c0d5	progress-log:S6;focused-checks;checkpoint-hooks;closure-full-pending
M	skills/bib-audit/_rtx/blueprints/rtx-reference-pairs.yaml	adapted	S6	E11	6766e69+484c0d5	progress-log:S6;focused-checks;checkpoint-hooks;closure-full-pending
M	skills/bib-audit/_rtx/blueprints/rtx-syntax-checker.yaml	adapted	S6	E11	6766e69+484c0d5	progress-log:S6;focused-checks;checkpoint-hooks;closure-full-pending
M	skills/bib-audit/blueprint.yaml	adapted	S6	E11	6766e69+484c0d5	progress-log:S6;focused-checks;checkpoint-hooks;closure-full-pending
M	skills/bib-audit/blueprints/gateway.yaml	adapted	S6	E11	6766e69+484c0d5	progress-log:S6;focused-checks;checkpoint-hooks;closure-full-pending
M	skills/cloud-files/SKILL.md	adapted	S8	E11	3ae2a40	progress-log:S8;focused-checks;checkpoint-hooks;closure-full-pending
M	skills/cloud-files/_rtx/blueprint.yaml	adapted	S6	E11	6766e69+484c0d5	progress-log:S6;focused-checks;checkpoint-hooks;closure-full-pending
M	skills/cloud-files/_rtx/blueprints/rtx-delete-llm-file.yaml	adapted	S6	E11	6766e69+484c0d5	progress-log:S6;focused-checks;checkpoint-hooks;closure-full-pending
M	skills/cloud-files/_rtx/blueprints/rtx-ensure-oauth.yaml	adapted	S6	E11	6766e69+484c0d5	progress-log:S6;focused-checks;checkpoint-hooks;closure-full-pending
M	skills/cloud-files/_rtx/blueprints/rtx-init.yaml	adapted	S6	E11	6766e69+484c0d5	progress-log:S6;focused-checks;checkpoint-hooks;closure-full-pending
M	skills/cloud-files/_rtx/blueprints/rtx-oauth-bootstrap.yaml	adapted	S6	E11	6766e69+484c0d5	progress-log:S6;focused-checks;checkpoint-hooks;closure-full-pending
M	skills/cloud-files/_rtx/blueprints/rtx-read-llm-file.yaml	adapted	S6	E11	6766e69+484c0d5	progress-log:S6;focused-checks;checkpoint-hooks;closure-full-pending
M	skills/cloud-files/_rtx/blueprints/rtx-write-llm-file.yaml	adapted	S6	E11	6766e69+484c0d5	progress-log:S6;focused-checks;checkpoint-hooks;closure-full-pending
M	skills/cloud-files/blueprint.yaml	adapted	S6	E11	6766e69+484c0d5	progress-log:S6;focused-checks;checkpoint-hooks;closure-full-pending
M	skills/cloud-files/blueprints/gateway.yaml	adapted	S6	E11	6766e69+484c0d5	progress-log:S6;focused-checks;checkpoint-hooks;closure-full-pending
M	skills/connect-google/SKILL.md	adapted	S8	E11	3ae2a40	progress-log:S8;focused-checks;checkpoint-hooks;closure-full-pending
M	skills/connect-google/_rtx/blueprint.yaml	adapted	S6	E11	6766e69+484c0d5	progress-log:S6;focused-checks;checkpoint-hooks;closure-full-pending
M	skills/connect-google/_rtx/blueprints/rtx-authorize-services.yaml	adapted	S6	E11	6766e69+484c0d5	progress-log:S6;focused-checks;checkpoint-hooks;closure-full-pending
M	skills/connect-google/_rtx/blueprints/rtx-client-config.yaml	adapted	S6	E11	6766e69+484c0d5	progress-log:S6;focused-checks;checkpoint-hooks;closure-full-pending
M	skills/connect-google/_rtx/blueprints/rtx-init.yaml	adapted	S6	E11	6766e69+484c0d5	progress-log:S6;focused-checks;checkpoint-hooks;closure-full-pending
M	skills/connect-google/_rtx/tests/test_connect_google_llm_routing.py	adapted	S6	E11	6766e69+484c0d5	progress-log:S6;focused-checks;checkpoint-hooks;closure-full-pending
M	skills/connect-google/_rtx/tests/test_service_delegation.py	adapted	S6	E11	6766e69+484c0d5	progress-log:S6;focused-checks;checkpoint-hooks;closure-full-pending
M	skills/connect-google/blueprint.yaml	adapted	S6	E11	6766e69+484c0d5	progress-log:S6;focused-checks;checkpoint-hooks;closure-full-pending
M	skills/connect-google/blueprints/gateway.yaml	adapted	S6	E11	6766e69+484c0d5	progress-log:S6;focused-checks;checkpoint-hooks;closure-full-pending
M	skills/connect-google/blueprints/instructions-connect-services.yaml	adapted	S6	E11	6766e69+484c0d5	progress-log:S6;focused-checks;checkpoint-hooks;closure-full-pending
M	skills/connect-google/blueprints/instructions-create-client.yaml	adapted	S6	E11	6766e69+484c0d5	progress-log:S6;focused-checks;checkpoint-hooks;closure-full-pending
M	skills/connect-google/blueprints/personal-preferences-connect-services.yaml	adapted	S6	E11	6766e69+484c0d5	progress-log:S6;focused-checks;checkpoint-hooks;closure-full-pending
M	skills/connect-google/blueprints/personal-preferences-create-client.yaml	adapted	S6	E11	6766e69+484c0d5	progress-log:S6;focused-checks;checkpoint-hooks;closure-full-pending
M	skills/connect-google/blueprints/personal-preferences-default.yaml	adapted	S6	E11	6766e69+484c0d5	progress-log:S6;focused-checks;checkpoint-hooks;closure-full-pending
M	skills/connect-google/instructions/connect-services.md	adapted	S6	E11	6766e69+484c0d5	progress-log:S6;focused-checks;checkpoint-hooks;closure-full-pending
M	skills/daily-plan/SKILL.md	adapted	S8	E11	3ae2a40	progress-log:S8;focused-checks;checkpoint-hooks;closure-full-pending
M	skills/daily-plan/_rtx/_day_model.py	adapted	S6	E11	6766e69+484c0d5	progress-log:S6;focused-checks;checkpoint-hooks;closure-full-pending
M	skills/daily-plan/_rtx/blueprint.yaml	adapted	S6	E11	6766e69+484c0d5	progress-log:S6;focused-checks;checkpoint-hooks;closure-full-pending
M	skills/daily-plan/_rtx/blueprints/rtx-init.yaml	adapted	S6	E11	6766e69+484c0d5	progress-log:S6;focused-checks;checkpoint-hooks;closure-full-pending
M	skills/daily-plan/_rtx/blueprints/rtx-plan-orchestrate.yaml	adapted	S6	E11	6766e69+484c0d5	progress-log:S6;focused-checks;checkpoint-hooks;closure-full-pending
M	skills/daily-plan/_rtx/blueprints/rtx-plan-storage.yaml	adapted	S6	E11	6766e69+484c0d5	progress-log:S6;focused-checks;checkpoint-hooks;closure-full-pending
M	skills/daily-plan/_rtx/blueprints/rtx-render-plan.yaml	adapted	S6	E11	6766e69+484c0d5	progress-log:S6;focused-checks;checkpoint-hooks;closure-full-pending
M	skills/daily-plan/_rtx/blueprints/rtx-state-patch.yaml	adapted	S6	E11	6766e69+484c0d5	progress-log:S6;focused-checks;checkpoint-hooks;closure-full-pending
M	skills/daily-plan/_rtx/tests/test_dispatch_contract.py	adapted	S6	E11	6766e69+484c0d5	progress-log:S6;focused-checks;checkpoint-hooks;closure-full-pending
M	skills/daily-plan/blueprint.yaml	adapted	S6	E11	6766e69+484c0d5	progress-log:S6;focused-checks;checkpoint-hooks;closure-full-pending
M	skills/daily-plan/blueprints/gateway.yaml	adapted	S6	E11	6766e69+484c0d5	progress-log:S6;focused-checks;checkpoint-hooks;closure-full-pending
M	skills/email-client/SKILL.md	adapted	S8	E11	3ae2a40	progress-log:S8;focused-checks;checkpoint-hooks;closure-full-pending
M	skills/email-client/_rtx/blueprint.yaml	adapted	S6	E11	6766e69+484c0d5	progress-log:S6;focused-checks;checkpoint-hooks;closure-full-pending
M	skills/email-client/_rtx/blueprints/rtx-email-accounts.yaml	adapted	S6	E11	6766e69+484c0d5	progress-log:S6;focused-checks;checkpoint-hooks;closure-full-pending
M	skills/email-client/_rtx/blueprints/rtx-email-smoke.yaml	adapted	S6	E11	6766e69+484c0d5	progress-log:S6;focused-checks;checkpoint-hooks;closure-full-pending
M	skills/email-client/_rtx/blueprints/rtx-imap-gateway.yaml	adapted	S6	E11	6766e69+484c0d5	progress-log:S6;focused-checks;checkpoint-hooks;closure-full-pending
M	skills/email-client/_rtx/blueprints/rtx-init.yaml	adapted	S6	E11	6766e69+484c0d5	progress-log:S6;focused-checks;checkpoint-hooks;closure-full-pending
M	skills/email-client/_rtx/blueprints/rtx-smtp-transport.yaml	adapted	S6	E11	6766e69+484c0d5	progress-log:S6;focused-checks;checkpoint-hooks;closure-full-pending
M	skills/email-client/blueprint.yaml	adapted	S6	E11	6766e69+484c0d5	progress-log:S6;focused-checks;checkpoint-hooks;closure-full-pending
M	skills/email-client/blueprints/gateway.yaml	adapted	S6	E11	6766e69+484c0d5	progress-log:S6;focused-checks;checkpoint-hooks;closure-full-pending
M	skills/email-triage/DEBUGGING.md	adapted	S6	E11	6766e69+484c0d5	progress-log:S6;focused-checks;checkpoint-hooks;closure-full-pending
M	skills/email-triage/SKILL.md	adapted	S8	E11	3ae2a40	progress-log:S8;focused-checks;checkpoint-hooks;closure-full-pending
M	skills/email-triage/_rtx/_mail_envelope_stream.py	adapted	S6	E11	6766e69+484c0d5	progress-log:S6;focused-checks;checkpoint-hooks;closure-full-pending
M	skills/email-triage/_rtx/_rescan_filter.py	adapted	S6	E11	6766e69+484c0d5	progress-log:S6;focused-checks;checkpoint-hooks;closure-full-pending
M	skills/email-triage/_rtx/blueprint.yaml	adapted	S6	E11	6766e69+484c0d5	progress-log:S6;focused-checks;checkpoint-hooks;closure-full-pending
M	skills/email-triage/_rtx/blueprints/rtx-decision-sink.yaml	adapted	S6	E11	6766e69+484c0d5	progress-log:S6;focused-checks;checkpoint-hooks;closure-full-pending
M	skills/email-triage/_rtx/blueprints/rtx-envelope-gate.yaml	adapted	S6	E11	6766e69+484c0d5	progress-log:S6;focused-checks;checkpoint-hooks;closure-full-pending
M	skills/email-triage/_rtx/blueprints/rtx-failure-clearer.yaml	adapted	S6	E11	6766e69+484c0d5	progress-log:S6;focused-checks;checkpoint-hooks;closure-full-pending
M	skills/email-triage/_rtx/blueprints/rtx-failure-sentinel.yaml	adapted	S6	E11	6766e69+484c0d5	progress-log:S6;focused-checks;checkpoint-hooks;closure-full-pending
M	skills/email-triage/_rtx/blueprints/rtx-finalize-run.yaml	adapted	S6	E11	6766e69+484c0d5	progress-log:S6;focused-checks;checkpoint-hooks;closure-full-pending
M	skills/email-triage/_rtx/blueprints/rtx-init.yaml	adapted	S6	E11	6766e69+484c0d5	progress-log:S6;focused-checks;checkpoint-hooks;closure-full-pending
M	skills/email-triage/_rtx/blueprints/rtx-log-compactor.yaml	adapted	S6	E11	6766e69+484c0d5	progress-log:S6;focused-checks;checkpoint-hooks;closure-full-pending
M	skills/email-triage/_rtx/blueprints/rtx-mail-envelope-stream.yaml	adapted	S6	E11	6766e69+484c0d5	progress-log:S6;focused-checks;checkpoint-hooks;closure-full-pending
M	skills/email-triage/_rtx/blueprints/rtx-watermark-floor.yaml	adapted	S6	E11	6766e69+484c0d5	progress-log:S6;focused-checks;checkpoint-hooks;closure-full-pending
M	skills/email-triage/_rtx/blueprints/rtx-watermark-writer.yaml	adapted	S6	E11	6766e69+484c0d5	progress-log:S6;focused-checks;checkpoint-hooks;closure-full-pending
M	skills/email-triage/_rtx/blueprints/rtx-write-metrics.yaml	adapted	S6	E11	6766e69+484c0d5	progress-log:S6;focused-checks;checkpoint-hooks;closure-full-pending
M	skills/email-triage/_rtx/tests/test_fetch_filtered_envelopes.py	adapted	S6	E11	6766e69+484c0d5	progress-log:S6;focused-checks;checkpoint-hooks;closure-full-pending
M	skills/email-triage/blueprint.yaml	adapted	S6	E11	6766e69+484c0d5	progress-log:S6;focused-checks;checkpoint-hooks;closure-full-pending
M	skills/email-triage/blueprints/gateway.yaml	adapted	S6	E11	6766e69+484c0d5	progress-log:S6;focused-checks;checkpoint-hooks;closure-full-pending
M	skills/email-triage/blueprints/instructions-triage.yaml	adapted	S6	E11	6766e69+484c0d5	progress-log:S6;focused-checks;checkpoint-hooks;closure-full-pending
M	skills/email-triage/instructions/triage.md	adapted	S6	E11	6766e69+484c0d5	progress-log:S6;focused-checks;checkpoint-hooks;closure-full-pending
M	skills/email-triage/tests/test_llm_routing.py	adapted	S6	E11	6766e69+484c0d5	progress-log:S6;focused-checks;checkpoint-hooks;closure-full-pending
M	skills/email-triage/tests/test_rescan.py	adapted	S6	E11	6766e69+484c0d5	progress-log:S6;focused-checks;checkpoint-hooks;closure-full-pending
M	skills/find-handoff-candidates/SKILL.md	adapted	S8	E11	3ae2a40	progress-log:S8;focused-checks;checkpoint-hooks;closure-full-pending
M	skills/find-handoff-candidates/_rtx/blueprint.yaml	adapted	S6	E11	6766e69+484c0d5	progress-log:S6;focused-checks;checkpoint-hooks;closure-full-pending
M	skills/find-handoff-candidates/_rtx/blueprints/rtx-handoff-calibrate.yaml	adapted	S6	E11	6766e69+484c0d5	progress-log:S6;focused-checks;checkpoint-hooks;closure-full-pending
M	skills/find-handoff-candidates/_rtx/blueprints/rtx-handoff-scan.yaml	adapted	S6	E11	6766e69+484c0d5	progress-log:S6;focused-checks;checkpoint-hooks;closure-full-pending
M	skills/find-handoff-candidates/_rtx/blueprints/rtx-init.yaml	adapted	S6	E11	6766e69+484c0d5	progress-log:S6;focused-checks;checkpoint-hooks;closure-full-pending
M	skills/find-handoff-candidates/blueprint.yaml	adapted	S6	E11	6766e69+484c0d5	progress-log:S6;focused-checks;checkpoint-hooks;closure-full-pending
M	skills/find-handoff-candidates/blueprints/gateway.yaml	adapted	S6	E11	6766e69+484c0d5	progress-log:S6;focused-checks;checkpoint-hooks;closure-full-pending
M	skills/fix-bisync/blueprint.yaml	adapted	S6	E11	6766e69+484c0d5	progress-log:S6;focused-checks;checkpoint-hooks;closure-full-pending
M	skills/fix-bisync/blueprints/gateway.yaml	adapted	S6	E11	6766e69+484c0d5	progress-log:S6;focused-checks;checkpoint-hooks;closure-full-pending
M	skills/formal-prose-review/blueprint.yaml	adapted	S6	E11	6766e69+484c0d5	progress-log:S6;focused-checks;checkpoint-hooks;closure-full-pending
M	skills/formal-prose-review/blueprints/gateway.yaml	adapted	S6	E11	6766e69+484c0d5	progress-log:S6;focused-checks;checkpoint-hooks;closure-full-pending
M	skills/g-calendar/SKILL.md	adapted	S8	E11	3ae2a40	progress-log:S8;focused-checks;checkpoint-hooks;closure-full-pending
M	skills/g-calendar/_rtx/blueprint.yaml	adapted	S6	E11	6766e69+484c0d5	progress-log:S6;focused-checks;checkpoint-hooks;closure-full-pending
M	skills/g-calendar/_rtx/blueprints/rtx-ensure-oauth.yaml	adapted	S6	E11	6766e69+484c0d5	progress-log:S6;focused-checks;checkpoint-hooks;closure-full-pending
M	skills/g-calendar/_rtx/blueprints/rtx-gcal-client.yaml	adapted	S6	E11	6766e69+484c0d5	progress-log:S6;focused-checks;checkpoint-hooks;closure-full-pending
M	skills/g-calendar/_rtx/blueprints/rtx-init.yaml	adapted	S6	E11	6766e69+484c0d5	progress-log:S6;focused-checks;checkpoint-hooks;closure-full-pending
M	skills/g-calendar/_rtx/blueprints/rtx-oauth-bootstrap.yaml	adapted	S6	E11	6766e69+484c0d5	progress-log:S6;focused-checks;checkpoint-hooks;closure-full-pending
M	skills/g-calendar/blueprint.yaml	adapted	S6	E11	6766e69+484c0d5	progress-log:S6;focused-checks;checkpoint-hooks;closure-full-pending
M	skills/g-calendar/blueprints/gateway.yaml	adapted	S6	E11	6766e69+484c0d5	progress-log:S6;focused-checks;checkpoint-hooks;closure-full-pending
M	skills/get-weather/SKILL.md	adapted	S8	E11	3ae2a40	progress-log:S8;focused-checks;checkpoint-hooks;closure-full-pending
M	skills/get-weather/_rtx/blueprint.yaml	adapted	S6	E11	6766e69+484c0d5	progress-log:S6;focused-checks;checkpoint-hooks;closure-full-pending
M	skills/get-weather/_rtx/blueprints/rtx-weather-client.yaml	adapted	S6	E11	6766e69+484c0d5	progress-log:S6;focused-checks;checkpoint-hooks;closure-full-pending
M	skills/get-weather/blueprint.yaml	adapted	S6	E11	6766e69+484c0d5	progress-log:S6;focused-checks;checkpoint-hooks;closure-full-pending
M	skills/get-weather/blueprints/gateway.yaml	adapted	S6	E11	6766e69+484c0d5	progress-log:S6;focused-checks;checkpoint-hooks;closure-full-pending
M	skills/git-workflow/blueprint.yaml	adapted	S6	E11	6766e69+484c0d5	progress-log:S6;focused-checks;checkpoint-hooks;closure-full-pending
M	skills/git-workflow/blueprints/gateway.yaml	adapted	S6	E11	6766e69+484c0d5	progress-log:S6;focused-checks;checkpoint-hooks;closure-full-pending
M	skills/hook-maker/blueprint.yaml	adapted	S6	E11	6766e69+484c0d5	progress-log:S6;focused-checks;checkpoint-hooks;closure-full-pending
M	skills/hook-maker/blueprints/gateway.yaml	adapted	S6	E11	6766e69+484c0d5	progress-log:S6;focused-checks;checkpoint-hooks;closure-full-pending
M	skills/initialize-tdd/SKILL.md	adapted	S8	E11	3ae2a40	progress-log:S8;focused-checks;checkpoint-hooks;closure-full-pending
M	skills/initialize-tdd/_rtx/blueprint.yaml	adapted	S6	E11	6766e69+484c0d5	progress-log:S6;focused-checks;checkpoint-hooks;closure-full-pending
M	skills/initialize-tdd/_rtx/blueprints/rtx-host-links.yaml	adapted	S6	E11	6766e69+484c0d5	progress-log:S6;focused-checks;checkpoint-hooks;closure-full-pending
M	skills/initialize-tdd/blueprint.yaml	adapted	S6	E11	6766e69+484c0d5	progress-log:S6;focused-checks;checkpoint-hooks;closure-full-pending
M	skills/initialize-tdd/blueprints/gateway.yaml	adapted	S6	E11	6766e69+484c0d5	progress-log:S6;focused-checks;checkpoint-hooks;closure-full-pending
M	skills/install-assistant-tools/SKILL.md	adapted	S4,S6	E05,E06,E07,E10,E13	d5584e7+484c0d5,6766e69+484c0d5	progress-log:S4,S6;focused-checks;checkpoint-hooks;closure-full-pending
M	skills/install-assistant-tools/_rtx/_agent_launchers.py	adapted	S4,S6	E05,E06,E07,E10,E13	d5584e7+484c0d5,6766e69+484c0d5	progress-log:S4,S6;focused-checks;checkpoint-hooks;closure-full-pending
M	skills/install-assistant-tools/_rtx/_config_bridge.py	adapted	S4,S6	E05,E06,E07,E10,E13	d5584e7+484c0d5,6766e69+484c0d5	progress-log:S4,S6;focused-checks;checkpoint-hooks;closure-full-pending
